ReadDurM	Words
43.87	6474.00
68.85	9417.00
48.37	7142.00
27.53	3680.00
45.92	6580.00
33.17	4043.00
70.70	9899.00
54.97	7522.00
28.32	3873.00
64.22	9909.00
40.82	6061.00
29.43	4500.00
68.57	10283.00
23.12	3831.00
57.23	8545.00
43.42	6184.00
56.00	6883.00
71.57	9335.00
83.58	11326.00
46.52	6242.00
62.90	7955.00
26.77	2947.00
44.10	5304.00
62.35	8220.00
80.57	11000.00
74.80	9995.00
29.02	3880.00
69.55	9160.00
20.45	2942.00
45.20	4429.00
69.75	8286.00
61.32	7571.00
89.65	12010.00
33.33	4316.00
24.07	3453.00
107.08	15829.00
13.43	
65.00	
36.85	
68.43	
21.98	
52.02	
61.62	
53.23	
60.75	
62.08	
11.80	
45.03	
53.08	
31.40	
14.75	
62.98	
59.63	
55.85	
88.53	
59.57	
75.13	
45.00	
45.63	
44.63	
65.42	
16.60	
35.28	
11.80	1443.00
31.30	2752.00
11.38	1377.00
61.27	6797.00
37.35	5186.00
69.77	9197.00
37.73	4446.00
36.45	3657.00
59.98	8093.00
58.33	8969.00
17.30	2206.00
64.02	8594.00
10.48	1100.00
7.18	716.00
42.22	5321.00
28.68	3816.00
10.58	1194.00
77.87	9707.00
61.83	8365.00
21.67	2294.00
37.03	4783.00
66.75	6443.00
61.47	7700.00
18.92	2567.00
65.23	8962.00
22.90	3212.00
60.17	7925.00
61.98	8219.00
17.43	3424.00
60.82	10316.00
27.12	3609.00
79.55	11333.00
40.82	5285.00
19.57	1566.00
64.00	8496.00
59.60	9349.00
19.52	1905.00
121.07	20040.00
21.12	3012.00
66.22	9805.00
66.47	10485.00
63.73	9664.00
20.17	2751.00
59.68	8586.00
41.03	5777.00
62.03	8769.00
39.77	6064.00
60.00	9228.00
46.65	6226.00
87.30	13335.00
37.18	5903.00
28.45	4468.00
123.87	20737.00
21.43	2862.00
67.08	8389.00
25.67	3462.00
34.25	4700.00
59.18	7805.00
30.07	4739.00
33.45	5175.00
35.65	4985.00
38.92	6572.00
20.67	2814.00
79.30	12204.00
36.05	5723.00
90.23	14930.00
74.77	12217.00
45.98	7934.00
104.42	16875.00
44.15	9568.00
102.43	22683.00
43.48	11392.00
46.62	6388.00
64.37	14746.00
39.97	10369.00
147.80	35975.00
33.32	5438.00
45.45	7652.00
107.57	19094.00
46.28	7262.00
36.20	5175.00
42.98	8267.00
40.02	5665.00
18.60	2333.00
35.45	5046.00
41.08	5907.00
44.63	6067.00
33.27	5749.00
69.12	9518.00
32.05	4667.00
12.48	1542.00
72.82	13872.00
49.40	9286.00
37.52	6936.00
38.35	5989.00
34.90	5786.00
46.78	7902.00
63.05	11011.00
55.27	9630.00
22.75	3179.00
46.92	6756.00
42.47	5168.00
28.10	3536.00
69.45	8097.00
53.33	7115.00
30.35	3959.00
36.72	4505.00
62.85	9515.00
49.08	6912.00
53.55	7694.00
47.15	6421.00
57.35	7665.00
38.65	5505.00
62.57	8201.00
19.82	2299.00
58.75	7111.00
20.00	2380.00
30.90	3957.00
10.67	1134.00
42.13	4480.00
26.62	2900.00
35.68	4017.00
13.35	1646.00
26.30	2968.00
9.85	1127.00
22.28	2365.00
27.70	2788.00
36.68	4535.00
19.87	2383.00
5.88	550.00
30.08	3985.00
30.30	3473.00
40.62	5192.00
28.53	3438.00
30.53	3382.00
29.62	3397.00
28.92	3731.00
22.73	2963.00
19.88	2326.00
24.32	3279.00
35.20	4484.00
25.62	2704.00
30.88	3832.00
28.20	3753.00
30.43	3914.00
33.52	3972.00
45.55	5659.00
26.63	3314.00
26.72	3438.00
32.93	3813.00
40.82	4931.00
26.40	3269.00
23.73	2669.00
23.63	2596.00
38.22	4603.00
39.72	4782.00
39.35	4541.00
40.90	4718.00
44.87	6061.00
46.30	6221.00
35.22	4371.00
26.75	3424.00
24.15	2852.00
40.65	6111.00
27.18	3164.00
41.77	5511.00
39.98	5255.00
49.57	6659.00
35.60	4989.00
32.77	4365.00
36.37	4808.00
48.53	5992.00
35.00	4379.00
42.97	5388.00
35.20	4896.00
42.32	5411.00
36.92	4350.00
27.05	3696.00
47.62	5922.00
90.50	13065.00
32.35	3992.00
27.68	3291.00
32.10	3753.00
24.80	2993.00
28.97	3335.00
31.73	3858.00
32.40	3972.00
40.95	5108.00
35.87	4586.00
33.40	4313.00
37.30	4387.00
40.62	5020.00
37.70	4655.00
41.45	5097.00
49.18	5838.00
59.43	7806.00
47.45	6410.00
43.43	5534.00
56.38	7884.00
52.55	7139.00
44.10	5917.00
48.73	6297.00
41.57	5416.00
45.62	5034.00
40.83	4923.00
34.90	4386.00
31.87	3944.00
42.97	5319.00
33.33	3620.00
62.00	8388.00
64.02	8556.00
36.98	4609.00
49.43	7071.00
64.38	7536.00
64.35	8610.00
70.68	8771.00
55.85	8858.00
66.80	9061.00
64.43	9843.00
62.15	8888.00
38.05	6005.00
79.43	9235.00
78.08	10512.00
65.73	8627.00
71.18	9138.00
99.77	12481.00
95.02	13218.00
114.45	17280.00
97.42	12805.00
151.10	19467.00
146.05	20624.00
84.15	11377.00
89.72	12524.00
124.30	16281.00
140.18	19355.00
86.45	15514.00
66.40	8789.00
106.55	15870.00
63.92	8708.00
117.93	15432.00
116.42	17233.00
105.27	16709.00
72.05	10253.00
95.65	13016.00
115.67	17165.00
91.48	13389.00
111.00	14751.00
95.95	12909.00
81.28	11895.00
99.62	14685.00
72.73	10547.00
105.97	14676.00
152.52	23583.00
124.05	18434.00
180.18	31940.00
58.53	8149.00
132.63	19946.00
201.60	30324.00
110.00	14856.00
189.00	28895.00
93.17	13006.00
86.70	12180.00
76.75	12586.00
61.07	8958.00
76.68	11587.00
127.20	20532.00
103.45	16020.00
41.48	5831.00
115.32	18067.00
89.50	12497.00
157.13	23697.00
32.23	5003.00
134.95	20676.00
95.77	14305.00
75.60	10121.00
97.63	15078.00
45.20	7082.00
106.72	17573.00
80.52	12283.00
92.05	15085.00
95.32	16397.00
95.80	14302.00
94.47	14246.00
117.88	18391.00
105.20	16274.00
72.42	12456.00
121.48	18900.00
188.48	31988.00
80.85	11892.00
76.08	12219.00
76.27	11574.00
81.65	13701.00
90.32	12582.00
76.80	13190.00
72.87	11622.00
124.65	18981.00
56.13	9712.00
85.20	12095.00
93.82	13872.00
87.67	12840.00
100.42	15130.00
73.48	12039.00
111.73	15536.00
86.23	14527.00
138.22	19142.00
63.05	11316.00
85.68	14221.00
77.20	11099.00
116.75	18420.00
126.67	19054.00
33.70	5758.00
40.98	6077.00
43.08	6801.00
43.63	6553.00
37.93	5935.00
30.77	4778.00
34.35	5353.00
36.78	5156.00
43.08	7558.00
64.20	9147.00
40.02	6190.00
126.80	19483.00
104.83	17252.00
54.05	9105.00
109.87	17651.00
66.83	11456.00
92.20	13841.00
63.18	9415.00
61.45	9946.00
96.22	16629.00
99.52	17572.00
132.67	25124.00
100.25	14573.00
105.05	17652.00
138.50	23916.00
60.13	10928.00
78.52	12677.00
64.18	10498.00
79.87	12381.00
80.55	13371.00
70.87	11322.00
53.73	9443.00
64.22	10645.00
65.65	11398.00
72.90	12675.00
80.20	13713.00
38.82	5992.00
28.63	4395.00
113.85	16850.00
62.20	9282.00
32.93	4805.00
90.87	14560.00
32.12	5123.00
18.70	2935.00
23.98	3633.00
18.97	2858.00
47.45	6878.00
41.47	7060.00
58.30	9064.00
30.23	5033.00
62.67	9828.00
32.35	5867.00
122.50	21273.00
78.02	14675.00
101.50	16284.00
29.27	4864.00
113.42	15517.00
25.25	3802.00
88.45	14045.00
41.55	6650.00
62.13	9195.00
29.22	4866.00
57.82	9101.00
50.93	7778.00
15.58	2564.00
60.02	9948.00
105.37	16486.00
86.93	12452.00
94.82	15248.00
114.82	20570.00
26.32	4425.00
103.00	17985.00
59.13	9029.00
26.43	4028.00
59.62	9022.00
55.78	9113.00
25.27	3560.00
37.50	5119.00
105.97	15318.00
46.00	6927.00
32.97	5432.00
15.47	2680.00
51.87	8246.00
73.43	12469.00
93.88	15550.00
83.30	14304.00
126.27	20920.00
24.40	4258.00
80.42	13572.00
53.55	8970.00
112.18	18009.00
127.30	20876.00
63.62	8780.00
48.98	9127.00
53.33	9309.00
113.15	19277.00
50.05	8952.00
25.12	3934.00
51.57	8144.00
106.70	18365.00
122.68	21084.00
114.38	19379.00
35.93	6234.00
39.40	7201.00
42.57	7996.00
152.15	25946.00
45.38	7744.00
30.45	5378.00
86.92	14647.00
8.88	1370.00
56.17	8308.00
56.65	9562.00
32.25	4499.00
32.25	5040.00
44.20	6493.00
20.45	3102.00
44.68	7398.00
65.35	9947.00
36.17	5792.00
28.90	4884.00
87.80	14713.00
21.32	3213.00
66.58	9518.00
29.88	4542.00
65.10	10642.00
51.78	8525.00
20.93	3105.00
16.50	2581.00
119.23	17716.00
37.40	5494.00
46.92	7905.00
46.08	7150.00
49.88	7721.00
35.75	6019.00
71.55	10766.00
64.00	11141.00
58.30	8958.00
54.10	8588.00
43.18	7002.00
65.50	10676.00
78.92	11729.00
80.72	12240.00
43.70	7057.00
84.33	13341.00
43.27	7325.00
52.48	8565.00
109.22	17982.00
106.93	16206.00
67.87	11472.00
78.48	13440.00
121.15	19935.00
49.83	10162.00
55.30	10083.00
57.12	9711.00
37.17	6949.00
98.55	15826.00
65.77	10086.00
63.45	10130.00
76.93	13300.00
43.72	7322.00
97.37	16748.00
63.35	11283.00
53.13	7921.00
120.83	20289.00
38.42	6360.00
47.20	7122.00
44.67	10090.00
31.70	8278.00
33.93	7915.00
44.23	9925.00
30.95	7022.00
43.52	8548.00
50.30	9038.00
79.33	12081.00
35.05	6703.00
58.50	12178.00
24.87	5282.00
39.97	7041.00
46.58	10513.00
29.48	6072.00
30.73	8006.00
42.45	9148.00
37.03	9303.00
99.83	24042.00
55.48	12239.00
31.47	6862.00
41.25	8906.00
26.57	6900.00
19.47	5075.00
52.23	11751.00
28.23	6750.00
25.28	5078.00
28.45	7210.00
27.17	7279.00
40.35	8808.00
16.53	3361.00
26.37	7590.00
39.40	11108.00
39.55	8652.00
42.30	10206.00
58.12	11689.00
57.33	12657.00
41.82	10299.00
42.65	8418.00
28.37	4285.00
33.67	5097.00
29.58	6023.00
23.83	4999.00
36.18	8830.00
19.07	3790.00
20.63	4158.00
14.37	3042.00
18.13	3796.00
22.00	4331.00
47.53	8905.00
41.92	7465.00
56.68	10826.00
32.30	5630.00
47.20	8938.00
61.05	9279.00
34.52	5539.00
49.22	8554.00
54.50	8307.00
62.98	12267.00
61.87	10948.00
51.72	10197.00
50.12	9053.00
25.90	4792.00
63.62	11258.00
13.18	2808.00
23.00	4660.00
38.30	7491.00
39.82	7552.00
31.82	6030.00
22.17	4318.00
38.22	7869.00
37.43	7563.00
23.68	5221.00
71.37	12525.00
47.30	8810.00
60.92	13023.00
25.82	5422.00
52.77	12966.00
49.10	13755.00
